text,pca1,pca2,pca3,pca4,pca5,pca6
465,1.8648425502119907,0.9920981788269254,0.21211987532484503,-0.31020928004249626,0.3790998146955385,-0.6996550952614293
68,0.2687047709263513,0.4221678799842232,0.43373234496669993,0.11474231339257335,0.27752404398188185,-0.43054593781862377
161,0.565503791895717,0.8550399417275574,0.7900951265207008,-0.2076679676685852,0.6605258414787283,-0.4811449656398857
86,-0.6557559670279594,0.5168552671657008,0.5451315331430041,0.057550241339038195,0.39528002169438065,-0.14932909610208753
241,0.4233158258890409,-0.030087607132970023,-0.7692197759907579,0.00937034967577151,0.6050023867777384,-0.0996600965849498
186,-0.1218839176731712,-0.20584881052319298,0.06790561728199913,-0.09609370747229604,0.14569898343106136,-0.4390441137341991
60,-1.2068124677674592,-0.2046680249485417,-0.29440669569403594,0.18146484036476251,0.4077546023418469,-0.11941295954188437
105,-0.6303631145082743,0.8526572789728076,0.21668138042280163,0.01880584233379602,0.42784144927628187,-0.10561852892982306
70,-1.172173594578846,-0.27349055841921943,-0.08397776145982347,-0.044623312722996564,0.17000737697340026,-0.2829716802057366
351,0.44751660517663483,1.0576804516673144,0.6292725910681759,0.030156810670007743,0.21293069165977588,-0.3969098285589512
88,-0.7831230839843758,-0.04810173395723884,0.21325471795255566,-0.14292471297889364,0.13046880545718254,-0.4139286927321342
114,-0.8620384970288643,1.1800285575266185,0.8408285888850628,-0.016178621510036174,0.22186947747495894,0.23316661654311333
196,-0.4817007236547007,0.46803546617083164,1.1348873096342267,0.41530502809668546,0.08657839026773265,-0.052638172829931495
47,-2.648069608889047,-0.36988296138019766,0.1112373374189099,0.6449784870195191,0.31012827551322536,-0.09540697735007345
307,0.2178787544492143,0.2990772352354261,0.5125398998489306,0.20752278093812365,1.0848386972588062,-0.2590193485063328
64,-1.5988187013399666,0.3408331074612296,0.25881008816710216,0.32947951468784537,0.34688869116653187,-0.050461654627784396
248,-0.286702260759912,-0.49286862585330493,-0.3002800282369395,0.2798407994048554,0.2608190705130813,-0.401746556161628
278,0.07850776869786483,-0.23466026855080546,0.9164929444432174,0.2099795986459783,-0.09337478409617488,-0.7059068314390129
56,-1.6554385688836675,0.33977534672889415,0.7168968301472011,0.5465978507768186,0.29960067489169184,0.07179493463115827
236,0.04351782121080387,1.800368604802327,0.8282098021718064,0.45474605516136446,-0.3491117742134535,-0.5486620880175906
115,-1.0711799209852497,1.215304482068151,0.4691477789663435,0.41571271751130046,0.0806395737559334,0.047739714172730895
218,-0.3164856448353389,0.071093736369341,-0.5684791686601794,0.4051214155372313,0.5204729589454882,0.1476315626564724
27,-0.6335907459319594,-0.003946892710188932,-0.6883171485046866,0.7706898043983618,-1.0279319666604434,0.10993355832817667
134,-0.5390550177138785,0.10324312168436137,-0.7880791169756081,0.43336357897432365,0.48720969284370824,-0.014219779965984709
78,-1.4003275694886872,0.15989088593634407,0.22568167482552587,0.6225073970887137,0.2271975618856602,-0.013522246935497903
121,-0.899850666175554,-0.47541022969945756,0.27557840830419766,0.7139767213082553,0.20130390087400943,-0.2820826877565092
379,0.5640492538900476,-0.064046059154125,1.2092590596999955,0.40750173360894254,-0.34028542304153747,-0.9111620826482811
210,0.20062642668695493,0.2715899524379027,0.5708094813263124,0.4140923325001267,0.4597340016399937,-0.26553187134286227
62,-1.5198446916586976,0.014160962832225085,0.26546526778067747,0.514690385812587,0.47596181960406253,-0.26585012028505234
107,-1.2985634000598945,-0.2916656318930995,0.09443108371739765,0.5256700078800434,-0.1012620900358202,-0.3241114824763353
6,-1.7822880200515356,0.019865344210139146,-0.016609953366730962,0.565634615400226,0.22887575671653126,-0.13168499276637835
224,-0.4440280582560742,0.20393456710035018,-0.7582280054358091,0.48109564139145383,0.5474520282405294,-0.11636879622568487
212,-0.36235541072715455,0.7598952266096178,0.719991721653662,0.4619687505044448,0.010986382339645759,0.005705897237347175
50,-0.7339711500202437,-0.1846575158052084,-0.4172765842723904,0.5996324666089705,0.032685127317901165,0.07765189504535475
74,-1.5993660351728634,0.32189287181489956,0.3142747731216845,0.725501452630591,0.3124683028784986,0.00942683174384543
104,-1.3964046844904225,-0.1676524069583808,0.30269771067719015,0.7137304485752494,0.28998957992577457,-0.13264862181139064
108,-1.5001891721709246,0.16488214347941368,0.29132170309657973,0.5691361875372175,0.3139978582437486,-0.11568042325898721
177,-0.658720621720185,0.4991725628684705,0.03721774773813219,0.49188803605210085,0.035792046383389356,0.003133336234507689
9,-1.4536064761648213,0.20181278542530415,-0.3225271292627621,0.8217287596804064,0.09876414972584617,-0.005882006045453272
